Game Infos,AmongUs ver.2025.3.25,ExtremeRoles ver.13.0.1.1,Exported on:2025/04/19 14:59:10
Name,OptionValue,CustomOptionName,SelectedIndex
強力なシャッフルを使用する,オン,RandomOptionUseStrong,1
使用する乱数生成アルゴリズム,PCG32-XSH-RR,RandomOptionAlgorithm,0
クルーのロール数　最少,11,RoleSpawnCategoryMinCrewmate,11
クルーのロール数　最大,11,RoleSpawnCategoryMaxCrewmate,11
第三陣営のロール数　最少,3,RoleSpawnCategoryMinNeutral,3
第三陣営のロール数　最大,3,RoleSpawnCategoryMaxNeutral,3
インポスターのロール数　最少,3,RoleSpawnCategoryMinImpostor,3
インポスターのロール数　最大,3,RoleSpawnCategoryMaxImpostor,3
クルーのゴーストロール数　最少,0,GhostRoleSpawnCategoryMinCrewmate,0
クルーのゴーストロール数　最大,0,GhostRoleSpawnCategoryMaxCrewmate,0
第三陣営のゴーストロール数　最少,1,GhostRoleSpawnCategoryMinNeutral,1
第三陣営のゴーストロール数　最大,1,GhostRoleSpawnCategoryMaxNeutral,1
インポスターのゴーストロール数　最少,0,GhostRoleSpawnCategoryMinImpostor,0
インポスターのゴーストロール数　最大,0,GhostRoleSpawnCategoryMaxImpostor,0
ホスト役職：「シオン」を使用する,オフ,XionUseXion,0
初期キルクールが10秒か,オフ,OnGameStartOptionIsKillCoolDownIsTen,0
誰かの会議ボタンを消費しておく,オフ,OnGameStartOptionRemoveSomeoneButton,0
消費数,1,OnGameStartOptionReduceNum,0
ゲーム開始から会議ボタンが押せない秒数,1秒,OnGameStartOptionFirstButtonCoolDown,1
「挙手する」ボタンを使用する,オン,MeetingOptionUseRaiseHand,1
合計緊急会議回数,10,MeetingOptionNumMeating,10
会議中のプレイヤーの並び順をバニラから変更する,オフ,MeetingOptionChangeMeetingVoteAreaSort,0
会議中のプレイヤーのレベルを固定化する,オフ,MeetingOptionFixedMeetingPlayerLevel,0
投票スキップ禁止,オフ,MeetingOptionDisableSkipInEmergencyMeeting,0
自殺投票禁止,オフ,MeetingOptionDisableSelfVote,0
追放を確認する陣営,インポスター,ExiledOptionConfirmExilMode,0
追放時、役職も確認するか,オフ,ExiledOptionIsConfirmRole,0
マップのベントを無効化する,オフ,VentOptionDisable,0
ベント内のプレイヤーをキルできるか,オン,VentOptionCanKillInPlayer,1
エンジニアのベント使用をインポスターと同じにする,オフ,VentOptionEngineerUseImpostor,0
ベントのアニメーションが再生される範囲,視界内のみ,VentOptionAnimationModeInVison,2
メッドベイのスキャンを同時使用できるか,オン,TaskOptionParallelMedBayScans,1
タスクの壁チェックの設定を上書きするか,オン,TaskOptionIsFixWallHaskTask,1
ゴミ箱タスク,オン,TaskOptionGarbageTask,1
シャワータスク,オン,TaskOptionShowerTask,1
現像タスク,オン,TaskOptionDevelopPhotosTask,1
電力転換タスク,オン,TaskOptionDivertPowerTask,1
スポーンの特殊設定を有効化する,オン,RandomSpawnOptionEnable,1
「スケルド」のランダムスポーン,オフ,RandomSpawnOptionSkeld,0
「ミラHQ」のランダムスポーン,オフ,RandomSpawnOptionMiraHq,0
「ポーラス」のランダムスポーン,オフ,RandomSpawnOptionPolus,0
「エアシップ」のランダムスポーン,オン,RandomSpawnOptionAirShip,1
「ファングル」のランダムスポーン,オフ,RandomSpawnOptionFungle,0
会議後のランダムスポーンを自動選択にするか,オフ,RandomSpawnOptionIsAutoSelect,0
アドミンを無効化する,オフ,AdminOptionIsRemove,0
アドミンの時間制限を有効化する,オフ,AdminOptionEnableLimit,0
アドミンの使用時間上限,30秒,AdminOptionLimitTime,50
「エアシップ」の有効なアドミン,コックピットのみ有効,AdminOptionAirShipEnable,1
セキュリティカメラとログを無効化する,オフ,SecurityOptionIsRemove,0
セキュリティカメラとログの時間制限を有効化する,オフ,SecurityOptionEnableLimit,0
セキュリティカメラとログの使用時間上限,30秒,SecurityOptionLimitTime,50
バイタルを無効化する,オフ,VitalOptionIsRemove,0
バイタルの時間制限を有効化する,オフ,VitalOptionEnableLimit,0
バイタルの使用時間上限,30秒,VitalOptionLimitTime,50
ポーラスのバイタルの位置,デフォルト,VitalOptionPolusVitalPos,0
毎回マップがランダムに変わるか,オフ,RandomMapOptionEnable,0
タスクを持つクルーが居ない場合、タスク勝利を無効化する,オン,TaskWinOptionDisableWhenNoneTaskCrew,1
タスク勝利を無効化する,オフ,TaskWinOptionDisableAll,0
同じロールの第三陣営の勝利を同じにする,オン,NeutralWinOptionIsSame,1
第三陣営の特殊勝利による強制終了を無効化する,オフ,NeutralWinOptionDisableSpecialEnd,0
第三陣営役職がバニラの幽霊役職にアサインされるか,オン,GhostRoleGlobalOptionIsAssignNeutralToVanillaCrewGhostRole,1
ゴーストロールの天使アイコンを無効化する,オフ,GhostRoleGlobalOptionIsRemoveAngleIcon,0
守護天使の能力発動報告を無効化する,オフ,GhostRoleGlobalOptionIsBlockGAAbilityReport,0
スポーンレート,0％,SpecialCrewSpawnRate,0
スポーン数,1,SpecialCrewRoleNum,0
アサインウェイト,500,SpecialCrewAssignWeight,499
別の視界設定を持つか,オフ,SpecialCrewHasOtherVision,0
ビジョン,2x,SpecialCrewVision,7
視界効果を受けるか,オン,SpecialCrewApplyEnvironmentVisionEffect,1
スポーンレート,100％,SheriffSpawnRate,10
スポーン数,1,SheriffRoleNum,0
アサインウェイト,500,SheriffAssignWeight,499
別の視界設定を持つか,オフ,SheriffHasOtherVision,0
ビジョン,2x,SheriffVision,7
視界効果を受けるか,オン,SheriffApplyEnvironmentVisionEffect,1
別のキルクールタイムを持つか,オン,SheriffHasOtherKillCool,1
キルクールタイム,30秒,SheriffKillCoolDown,58
別のキルレンジを持つか,オフ,SheriffHasOtherKillRange,0
キルレンジ,ショート,SheriffKillRange,0
アサシンをキルできるか,オフ,SheriffCanShootAssassin,0
第三陣営をキルできるか,オン,SheriffCanShootNeutral,1
キルできる回数,1回,SheriffShootNum,0
タスクに関する設定を有効化する,オン,SheriffEnableTaskRelated,1
1つのタスク完了によるキルクール減少量,2.5秒,SheriffReduceCurKillCool,15
キルクールの減少が永続か,オン,SheriffIsPerm,1
キルできる回数がタスクによって増加するか,オフ,SheriffIsSyncTaskAndShootNum,0
キルできる回数が増加するタスク完了の増加率,5％,SheriffSyncShootTaskGage,0
スポーンレート,0％,MaintainerSpawnRate,0
スポーン数,1,MaintainerRoleNum,0
アサインウェイト,500,MaintainerAssignWeight,499
別の視界設定を持つか,オフ,MaintainerHasOtherVision,0
ビジョン,2x,MaintainerVision,7
視界効果を受けるか,オン,MaintainerApplyEnvironmentVisionEffect,1
「緊急修理」のクールタイム,30秒,MaintainerAbilityCoolTime,59
「緊急修理」の回数,2回,MaintainerAbilityCount,1
スポーンレート,0％,NeetSpawnRate,0
スポーン数,1,NeetRoleNum,0
アサインウェイト,500,NeetAssignWeight,499
別の視界設定を持つか,オフ,NeetHasOtherVision,0
ビジョン,2x,NeetVision,7
視界効果を受けるか,オン,NeetApplyEnvironmentVisionEffect,1
緊急会議を起こせるか,オフ,NeetCanCallMeeting,0
サボタージを治せるか,オフ,NeetCanRepairSabotage,0
第三陣営か,オフ,NeetIsNeutral,0
タスクを持つか,オフ,NeetHasTask,0
スポーンレート,0％,WatchdogSpawnRate,0
スポーン数,1,WatchdogRoleNum,0
アサインウェイト,500,WatchdogAssignWeight,499
別の視界設定を持つか,オフ,WatchdogHasOtherVision,0
ビジョン,2x,WatchdogVision,7
視界効果を受けるか,オン,WatchdogApplyEnvironmentVisionEffect,1
セキュリティとログのクールタイム,30秒,WatchdogAbilityCoolTime,59
充電の持続時間,3秒,WatchdogAbilityActiveTime,5
スポーンレート,0％,SupervisorSpawnRate,0
スポーン数,1,SupervisorRoleNum,0
アサインウェイト,500,SupervisorAssignWeight,499
別の視界設定を持つか,オフ,SupervisorHasOtherVision,0
ビジョン,2x,SupervisorVision,7
視界効果を受けるか,オン,SupervisorApplyEnvironmentVisionEffect,1
アドミンのクールタイム,30秒,SupervisorAbilityCoolTime,59
充電の持続時間,3秒,SupervisorAbilityActiveTime,5
「アドミン」がタスク進捗によって強化されるか,オフ,SupervisorIsBoostTask,0
「アドミン」が強化されるタスク進捗率,100％,SupervisorTaskGage,10
スポーンレート,0％,BodyGuardSpawnRate,0
スポーン数,1,BodyGuardRoleNum,0
アサインウェイト,500,BodyGuardAssignWeight,499
別の視界設定を持つか,オフ,BodyGuardHasOtherVision,0
ビジョン,2x,BodyGuardVision,7
視界効果を受けるか,オン,BodyGuardApplyEnvironmentVisionEffect,1
「ガード」を付与できる範囲,1,BodyGuardShieldRange,10
「ガード」のクールタイム,30秒,BodyGuardAbilityCoolTime,59
「ガード」が付与できる回数,2回,BodyGuardAbilityCount,1
会議中に「ガード」が使用できるタスク進捗率,30％,BodyGuardFeatMeetingAbilityTaskGage,3
会議でボディーガードの「殉職」が報告されるタスク進捗率,60％,BodyGuardFeatMeetingReportTaskGage,6
「殉職」が報告される際にプレイヤー名が表示されるか,オフ,BodyGuardIsReportPlayerName,0
報告されるプレイヤー名,守ったプレイヤーのみ,BodyGuardReportPlayerMode,0
会議中のキルを防ぐ事ができるか,オン,BodyGuardIsBlockMeetingKill,1
スポーンレート,0％,WhisperSpawnRate,0
スポーン数,1,WhisperRoleNum,0
アサインウェイト,500,WhisperAssignWeight,499
別の視界設定を持つか,オフ,WhisperHasOtherVision,0
ビジョン,2x,WhisperVision,7
視界効果を受けるか,オン,WhisperApplyEnvironmentVisionEffect,1
停止してから能力が発動するまでの時間,2秒,WhisperAbilityOffTime,2
「耳すまし」の持続時間,4秒,WhisperAbilityOnTime,6
キルされたテキストの表示時間,3秒,WhisperTellTextTime,4
キルされたテキストの最大表示数,3,WhisperMaxTellText,2
タスクによる能力強化を有効化するか,オフ,WhisperEnableAwakeAbility,0
能力が強化されるタスク進捗率,70％,WhisperAbilityTaskGage,7
スポーンレート,100％,TimeMasterSpawnRate,10
スポーン数,1,TimeMasterRoleNum,0
アサインウェイト,500,TimeMasterAssignWeight,499
別の視界設定を持つか,オフ,TimeMasterHasOtherVision,0
ビジョン,2x,TimeMasterVision,7
視界効果を受けるか,オン,TimeMasterApplyEnvironmentVisionEffect,1
「タイムシールド」のクールタイム,27.5秒,TimeMasterAbilityCoolTime,54
「タイムシールド」の持続時間,3秒,TimeMasterAbilityActiveTime,5
「タイムシールド」によって巻き戻る時間,15秒,TimeMasterRewindTime,28
スポーンレート,0％,AgencySpawnRate,0
スポーン数,1,AgencyRoleNum,0
アサインウェイト,500,AgencyAssignWeight,499
別の視界設定を持つか,オフ,AgencyHasOtherVision,0
ビジョン,2x,AgencyVision,7
視界効果を受けるか,オン,AgencyApplyEnvironmentVisionEffect,1
タスクバーを常に見ることが出来るか,オン,AgencyCanSeeTaskBar,1
「肩代わり」で取れるタスク数の上限,2,AgencyMaxTaskNum,1
「肩代わり」が発動できる範囲,1,AgencyTakeTaskRange,5
「肩代わり」のクールタイム,30秒,AgencyAbilityCoolTime,59
「肩代わり」が発動できる回数,2回,AgencyAbilityCount,1
スポーンレート,0％,BakarySpawnRate,0
スポーン数,1,BakaryRoleNum,0
アサインウェイト,500,BakaryAssignWeight,499
別の視界設定を持つか,オフ,BakaryHasOtherVision,0
ビジョン,2x,BakaryVision,7
視界効果を受けるか,オン,BakaryApplyEnvironmentVisionEffect,1
パンの焼き加減が変わるかどうか,オン,BakaryChangeCooking,1
パンが焼ける会議との合間時間,60秒,BakaryGoodBakeTime,30
パンが焦げる会議との合間時間,120秒,BakaryBadBakeTime,30
スポーンレート,0％,CurseMakerSpawnRate,0
スポーン数,1,CurseMakerRoleNum,0
アサインウェイト,500,CurseMakerAssignWeight,499
別の視界設定を持つか,オフ,CurseMakerHasOtherVision,0
ビジョン,2x,CurseMakerVision,7
視界効果を受けるか,オン,CurseMakerApplyEnvironmentVisionEffect,1
「呪い」が発動できる死体からの距離,2.5,CurseMakerCursingRange,4
「呪い」によって付与されるキルクールペナルティ,5秒,CurseMakerAdditionalKillCool,40
「呪い」のクールタイム,30秒,CurseMakerAbilityCoolTime,59
「呪い」が完了するまでの時間,5秒,CurseMakerAbilityActiveTime,9
「呪い」の使用回数,1回,CurseMakerAbilityCount,0
タスク1つ完了毎の「「呪い」が完了するまでの時間」の減少率,0％,CurseMakerTaskCurseTimeReduceRate,0
タスク進捗によって「呪い」によって「死体」が消えないようになるか,オフ,CurseMakerIsNotRemoveDeadBodyByTask,0
「死体」が消えないようになるタスク進捗率,100％,CurseMakerNotRemoveDeadBodyTaskGage,20
死体を指す矢印を表示するか,オン,CurseMakerIsDeadBodySearch,1
複数回、死体への矢印を表示させるか,オフ,CurseMakerIsMultiDeadBodySearch,0
キルされてから矢印が表示されるまでの時間,60秒,CurseMakerSearchDeadBodyTime,119
矢印の表示されるまでの時間がタスク進捗によって減少するか,オフ,CurseMakerIsReduceSearchForTask,0
矢印の表示されるまでの時間が減少するタスク進捗率,100％,CurseMakerReduceSearchTaskGage,15
減少する時間,0.5秒,CurseMakerReduceSearchDeadBodyTime,0
スポーンレート,0％,FencerSpawnRate,0
スポーン数,1,FencerRoleNum,0
アサインウェイト,500,FencerAssignWeight,499
別の視界設定を持つか,オフ,FencerHasOtherVision,0
ビジョン,2x,FencerVision,7
視界効果を受けるか,オン,FencerApplyEnvironmentVisionEffect,1
「カウンター」のクールタイム,30秒,FencerAbilityCoolTime,59
「カウンター」の受付時間,3秒,FencerAbilityActiveTime,5
「カウンター」の使用回数,2回,FencerAbilityCount,1
キルボタンが付与されてからなくなるまでの時間,5秒,FencerResetTime,5
スポーンレート,0％,OpenerSpawnRate,0
スポーン数,1,OpenerRoleNum,0
アサインウェイト,500,OpenerAssignWeight,499
別の視界設定を持つか,オフ,OpenerHasOtherVision,0
ビジョン,2x,OpenerVision,7
視界効果を受けるか,オン,OpenerApplyEnvironmentVisionEffect,1
「ドア開け」のクールタイム,30秒,OpenerAbilityCoolTime,59
「ドア開け」の基本使用回数,2回,OpenerAbilityCount,1
「ドア開け」の扉からの発動距離,2,OpenerRange,15
「ドア開け」のクール減少率,45％,OpenerReduceRate,40
「ドア開け」の追加使用回数,5回,OpenerPlusAbility,4
スポーンレート,0％,CarpenterSpawnRate,0
スポーン数,1,CarpenterRoleNum,0
アサインウェイト,500,CarpenterAssignWeight,499
別の視界設定を持つか,オフ,CarpenterHasOtherVision,0
ビジョン,2x,CarpenterVision,7
視界効果を受けるか,オン,CarpenterApplyEnvironmentVisionEffect,1
カーペンターに覚醒するタスク進捗率,0％,CarpenterAwakeTaskGage,0
「ベント封鎖」と「カメラ設置」のクールタイム,15秒,CarpenterAbilityCoolTime,26
「ネジ」の総本数,15本,CarpenterAbilityCount,10
「ベント封鎖」によって消費する「ネジ」の本数,10本,CarpenterRemoveVentScrew,9
「ベント封鎖」にかかる時間,5秒,CarpenterRemoveVentStopTime,6
「カメラ設置」によって消費する「ネジ」の本数,5本,CarpenterSetCameraScrew,4
「カメラ設置」にかかる時間,2.5秒,CarpenterSetCameraStopTime,3
スポーンレート,0％,SurvivorSpawnRate,0
スポーン数,1,SurvivorRoleNum,0
アサインウェイト,500,SurvivorAssignWeight,499
別の視界設定を持つか,オフ,SurvivorHasOtherVision,0
ビジョン,2x,SurvivorVision,7
視界効果を受けるか,オン,SurvivorApplyEnvironmentVisionEffect,1
サバイバーに覚醒するタスク進捗率,70％,SurvivorAwakeTaskGage,7
サバイバーが死んでも勝利できるタスク進捗率,100％,SurvivorDeadWinTaskGage,5
サバイバーが勝利できない状態時に幽霊役職にアサインされるか,オン,SurvivorNoWinSurvivorAssignGhostRole,1
スポーンレート,0％,CaptainSpawnRate,0
スポーン数,1,CaptainRoleNum,0
アサインウェイト,500,CaptainAssignWeight,499
別の視界設定を持つか,オフ,CaptainHasOtherVision,0
ビジョン,2x,CaptainVision,7
視界効果を受けるか,オン,CaptainApplyEnvironmentVisionEffect,1
キャプテンに覚醒するタスク進捗率,70％,CaptainAwakeTaskGage,7
スキップや無投票毎にチャージされる「特殊投票」の票数,0.7票,CaptainChargeVoteWhenSkip,6
「特殊投票」の元票数,0票,CaptainAwakedDefaultVoteNum,0
スポーンレート,100％,PhotographerSpawnRate,10
スポーン数,1,PhotographerRoleNum,0
アサインウェイト,500,PhotographerAssignWeight,499
別の視界設定を持つか,オフ,PhotographerHasOtherVision,0
ビジョン,2x,PhotographerVision,7
視界効果を受けるか,オン,PhotographerApplyEnvironmentVisionEffect,1
フォトグラファーに覚醒するタスク進捗率,0％,PhotographerAwakeTaskGage,0
「撮影」が強化されるタスク進捗率,20％,PhotographerUpgradePhotoTaskGage,2
「撮影」した情報が全体共有されるか,オン,PhotographerEnableAllSendChat,1
全体共有されるタスク進捗率,20％,PhotographerUpgradeAllSendChatTaskGage,2
「撮影」の範囲,20,PhotographerPhotoRange,35
「撮影」のクールタイム,15秒,PhotographerAbilityCoolTime,29
「撮影」の使用可能回数,5回,PhotographerAbilityCount,4
スポーンレート,100％,DelusionerSpawnRate,10
スポーン数,1,DelusionerRoleNum,0
アサインウェイト,500,DelusionerAssignWeight,499
別の視界設定を持つか,オフ,DelusionerHasOtherVision,0
ビジョン,2x,DelusionerVision,7
視界効果を受けるか,オン,DelusionerApplyEnvironmentVisionEffect,1
デリュージョナーに覚醒する自殺投票数,0票,DelusionerAwakeVoteNum,0
毎会議終了時覚醒条件を満たす必要があるか,オフ,DelusionerIsOnetimeAwake,0
「被害を逸らす」の発動可能範囲,2.5,DelusionerRange,25
「被害を逸らす」のクールタイム,15秒,DelusionerAbilityCoolTime,29
「被害を逸らす」の使用回数,25回,DelusionerAbilityCount,24
自殺投票1票あたりの「被害を逸らす」のクールタイム減少率,0％,DelusionerVoteCoolTimeReduceRate,0
「被害を逸らす」一回あたりのクールタイムペナルティ,0％,DelusionerDeflectDamagePenaltyRate,0
「被害を逸らす」のランダムテレポート地点に自分の位置を含めるか,オン,DelusionerIsIncludeLocalPlayer,1
「被害を逸らす」のランダムテレポート地点にマップの初期位置を含めるか,オン,DelusionerIsIncludeSpawnPoint,1
「被害を逸らす」の暴発を有効にするか,オフ,DelusionerEnableCounter,0
スポーンレート,100％,ResurrecterSpawnRate,10
スポーン数,1,ResurrecterRoleNum,0
アサインウェイト,500,ResurrecterAssignWeight,499
別の視界設定を持つか,オフ,ResurrecterHasOtherVision,0
ビジョン,2x,ResurrecterVision,7
視界効果を受けるか,オン,ResurrecterApplyEnvironmentVisionEffect,1
リザレクターに覚醒するタスク進捗率,0％,ResurrecterAwakeTaskGage,0
「復活可能状態」になるタスク進捗率,50％,ResurrecterResurrectTaskGage,0
「復活可能状態」時に死亡してから復活するまでのタイムラグ,5秒,ResurrecterResurrectDelayTime,10
復活後、全員の会議クールダウンをリセットするか,オフ,ResurrecterIsMeetingCoolResetOnResurrect,0
復活後の会議のクールタイム,20秒,ResurrecterResurrectMeetingCooltime,60
復活後、タスクの巻き戻りが発生する会議回数,1,ResurrecterResurrectTaskResetMeetingNum,0
タスクの巻き戻り率,10％,ResurrecterResurrectTaskResetGage,0
死亡後に「復活可能状態」になっても復活することが可能か,オフ,ResurrecterCanResurrectAfterDeath,0
追放でも復活することが可能か,オフ,ResurrecterCanResurrectOnExil,0
スポーンレート,0％,GamblerSpawnRate,0
スポーン数,1,GamblerRoleNum,0
アサインウェイト,500,GamblerAssignWeight,499
別の視界設定を持つか,オフ,GamblerHasOtherVision,0
ビジョン,2x,GamblerVision,7
視界効果を受けるか,オン,GamblerApplyEnvironmentVisionEffect,1
投票数が1票になる確率,50％,GamblerNormalVoteRate,10
スポーンレート,100％,TeleporterSpawnRate,10
スポーン数,1,TeleporterRoleNum,0
アサインウェイト,500,TeleporterAssignWeight,499
別の視界設定を持つか,オン,TeleporterHasOtherVision,1
ビジョン,1.5x,TeleporterVision,5
視界効果を受けるか,オン,TeleporterApplyEnvironmentVisionEffect,1
「ポータル」が他のプレイヤーが使用できるか,オン,TeleporterCanUseOtherPlayer,1
「セットポータル」のクールタイム,0.5秒,TeleporterAbilityCoolTime,0
「ポータルのかけら」が設置される個数,3回,TeleporterAbilityCount,2
スポーンレート,0％,ModeratorSpawnRate,0
スポーン数,1,ModeratorRoleNum,0
アサインウェイト,500,ModeratorAssignWeight,499
別の視界設定を持つか,オフ,ModeratorHasOtherVision,0
ビジョン,2x,ModeratorVision,7
視界効果を受けるか,オン,ModeratorApplyEnvironmentVisionEffect,1
モデレーターに覚醒するタスク進捗率,60％,ModeratorAwakeTaskGage,6
「モデレート」のクールタイム,30秒,ModeratorAbilityCoolTime,59
「モデレート」の使用可能回数,2回,ModeratorAbilityCount,1
「モデレート」によって増加する会議時間,30秒,ModeratorMeetingTimerOffset,5
スポーンレート,0％,PsychicSpawnRate,0
スポーン数,1,PsychicRoleNum,0
アサインウェイト,500,PsychicAssignWeight,499
別の視界設定を持つか,オフ,PsychicHasOtherVision,0
ビジョン,2x,PsychicVision,7
視界効果を受けるか,オン,PsychicApplyEnvironmentVisionEffect,1
サイキックに覚醒するタスク進捗率(覚醒条件:1),30％,PsychicAwakeTaskGage,3
サイキックに覚醒する死亡者数(覚醒条件:2),2,PsychicAwakeDeadPlayerNum,2
「降霊術」のクールタイム,30秒,PsychicAbilityCoolTime,59
「降霊術」にかかる時間,3秒,PsychicAbilityActiveTime,5
「降霊術」が使える回数,1回,PsychicAbilityCount,0
「降霊術」が強化されるか,オフ,PsychicIsUpgradeAbility,0
「降霊術」が強化されるタスク進捗率(強化条件:1),70％,PsychicUpgradeTaskGage,7
「降霊術」が強化される死亡者数(強化条件:2),5,PsychicUpgradeDeadPlayerNum,5
スポーンレート,0％,BaitSpawnRate,0
スポーン数,1,BaitRoleNum,0
アサインウェイト,500,BaitAssignWeight,499
別の視界設定を持つか,オフ,BaitHasOtherVision,0
ビジョン,2x,BaitVision,7
視界効果を受けるか,オン,BaitApplyEnvironmentVisionEffect,1
ベイトに覚醒するタスク進捗率,70％,BaitAwakeTaskGage,7
強制通報までの遅延時間,5秒,BaitDelayUntilForceReport,10
強制通報後のキル能力持ちのキルクールボーナスを有効にするか,オン,BaitEnableBaitBenefit,1
キルクールの減少速度倍率,2x,BaitKillCoolReduceMulti,9
ボーナスの持続時間,5秒,BaitReduceTimer,8
スポーンレート,0％,JailerSpawnRate,0
スポーン数,1,JailerRoleNum,0
アサインウェイト,500,JailerAssignWeight,499
別の視界設定を持つか,オフ,JailerHasOtherVision,0
ビジョン,2x,JailerVision,7
視界効果を受けるか,オン,JailerApplyEnvironmentVisionEffect,1
ジェイラーに覚醒するタスク進捗率(覚醒条件:1),70％,JailerAwakeTaskGage,7
ジェイラーに覚醒する死亡者数(覚醒条件:2),7,JailerAwakeDeadPlayerNum,7
ジェイラーがアドミンを使用できるか,オフ,JailerUseAdmin,0
ジェイラーがセキュリティカメラ/ログを使用できるか,オン,JailerUseSecurity,1
ジェイラーがバイタルを使用できるか,オフ,JailerUseVital,0
「投獄」のクールタイム,30秒,JailerAbilityCoolTime,59
「投獄」の使用回数,1回,JailerAbilityCount,0
「投獄」が成功する陣営,インポスターとニュートラル,JailerTargetMode,0
アサシンを「投獄」できるか,オン,JailerCanReplaceAssassin,1
「投獄」が発動できる範囲,0.1,JailerRange,0
「投獄」が成功し、使用回数が0回の時自決するか,オン,JailerIsDeadAbilityZero,1
「投獄」が失敗時、自決するか,オフ,JailerIsMissingToDead,0
ロォーブレーカーがキルできるか,オン,JailerLawbreakerCanKill,1
ロォーブレーカーが別のキルクール設定を持つか,オフ,JailerHasOtherKillCool,0
ロォーブレーカーのキルクール,30秒,JailerKillCoolDown,58
ロォーブレーカーが別のキルレンジ設定を持つか,オフ,JailerHasOtherKillRange,0
ロォーブレーカーのキルレンジ,ショート,JailerKillRange,0
ロォーブレーカーがベントを使用できるか,オン,JailerLawbreakerUseVent,1
ロォーブレーカーがサボタージュを使用できるか,オン,JailerLawbreakerUseSab,1
ヤードバードの追加共通タスク数,2,JailerYardbirdAddCommonTask,2
ヤードバードの追加ショートタスク数,1,JailerYardbirdAddNormalTask,1
ヤードバードの追加ロングタスク数,1,JailerYardbirdAddLongTask,1
ヤードバードの移動速度倍率,0.8,JailerYardbirdSpeedMod,7
ヤードバードがアドミンを使用できるか,オフ,JailerYardbirdUseAdmin,0
ヤードバードがセキュリティカメラ/ログを使用できるか,オフ,JailerYardbirdUseSecurity,0
ヤードバードがバイタルを使用できるか,オフ,JailerYardbirdUseVital,0
ヤードバードがベントを使用できるか,オン,JailerYardbirdUseVent,1
ヤードバードがサボタージュを使用できるか,オン,JailerYardbirdUseSab,1
スポーンレート,100％,SummonerSpawnRate,10
スポーン数,1,SummonerRoleNum,0
アサインウェイト,500,SummonerAssignWeight,499
別の視界設定を持つか,オフ,SummonerHasOtherVision,0
ビジョン,2x,SummonerVision,7
視界効果を受けるか,オン,SummonerApplyEnvironmentVisionEffect,1
「マーキング」と「召喚」のクールタイム,15秒,SummonerAbilityCoolTime,29
「マーキング」の使用回数,5,SummonerMarkingCount,4
「マーキング」が使用できる範囲,1.5,SummonerRange,15
「召喚」の使用回数,10,SummonerSummonCount,9
スポーンレート,0％,SpecialImpostorSpawnRate,0
スポーン数,1,SpecialImpostorRoleNum,0
アサインウェイト,500,SpecialImpostorAssignWeight,499
別の視界設定を持つか,オフ,SpecialImpostorHasOtherVision,0
ビジョン,2x,SpecialImpostorVision,7
視界効果を受けるか,オフ,SpecialImpostorApplyEnvironmentVisionEffect,0
別のキルクールタイムを持つか,オフ,SpecialImpostorHasOtherKillCool,0
キルクールタイム,30秒,SpecialImpostorKillCoolDown,58
別のキルレンジを持つか,オフ,SpecialImpostorHasOtherKillRange,0
キルレンジ,ショート,SpecialImpostorKillRange,0
スポーンレート,0％,EvolverSpawnRate,0
スポーン数,1,EvolverRoleNum,0
アサインウェイト,500,EvolverAssignWeight,499
別の視界設定を持つか,オフ,EvolverHasOtherVision,0
ビジョン,2x,EvolverVision,7
視界効果を受けるか,オフ,EvolverApplyEnvironmentVisionEffect,0
別のキルクールタイムを持つか,オフ,EvolverHasOtherKillCool,0
キルクールタイム,30秒,EvolverKillCoolDown,58
別のキルレンジを持つか,オフ,EvolverHasOtherKillRange,0
キルレンジ,ショート,EvolverKillRange,0
進化時、アニメーションを行うか,オン,EvolverIsEvolvedAnimation,1
進化後、死体を消すか,オン,EvolverIsEatingEndCleanBody,1
「捕食」を行える範囲,2.5,EvolverEatingRange,4
進化後のキルクール減少率,10％,EvolverKillCoolReduceRate,9
進化毎のキルクール減少率の倍率,1x,EvolverKillCoolResuceRateMulti,0
進化のクールタイム,30秒,EvolverAbilityCoolTime,59
「捕食」を行う時間,5秒,EvolverAbilityActiveTime,9
最終進化までの回数,5回,EvolverAbilityCount,4
スポーンレート,0％,CarrierSpawnRate,0
スポーン数,1,CarrierRoleNum,0
アサインウェイト,500,CarrierAssignWeight,499
