Game Infos,AmongUs ver.2025.3.25,ExtremeRoles ver.13.0.1.1,Exported on:2025/04/19 14:59:10
「タイムブレイク」の発動時間,10秒,TimeBreakerActiveTime,18
インポスターが「タイムブレイク」の影響を受けるか,オン,TimeBreakerEffectImp,1
「タイムブレイク」発動中のエフェクト,オン,TimeBreakerIsActiveScreen,1
スポーンレート,0％,AliceSpawnRate,0
スポーン数,1,AliceRoleNum,0
アサインウェイト,500,AliceAssignWeight,499
別の視界設定を持つか,オフ,AliceHasOtherVision,0
ビジョン,2x,AliceVision,7
視界効果を受けるか,オフ,AliceApplyEnvironmentVisionEffect,0
別のキルクールタイムを持つか,オフ,AliceHasOtherKillCool,0
キルクールタイム,30秒,AliceKillCoolDown,58
別のキルレンジを持つか,オフ,AliceHasOtherKillRange,0
キルレンジ,ショート,AliceKillRange,0
サボタージュを使えるか,オン,AliceCanUseSabotage,1
「破壊工作」のクールタイム,30秒,AliceAbilityCoolTime,59
「破壊工作」の回数,2回,AliceAbilityCount,1
「破壊工作」によって巻き戻るロングタスクの数,1,AliceRevartLongTaskNum,1
「破壊工作」によって巻き戻るショートタスクの数,1,AliceRevartCommonTaskNum,1
「破壊工作」によって巻き戻る通常タスクの数,1,AliceRevartNormalTaskNum,1
スポーンレート,0％,JackalSpawnRate,0
スポーン数,1,JackalRoleNum,0
アサインウェイト,500,JackalAssignWeight,499
別の視界設定を持つか,オフ,JackalHasOtherVision,0
ビジョン,2x,JackalVision,7
視界効果を受けるか,オフ,JackalApplyEnvironmentVisionEffect,0
別のキルクールタイムを持つか,オフ,JackalHasOtherKillCool,0
キルクールタイム,30秒,JackalKillCoolDown,58
別のキルレンジを持つか,オフ,JackalHasOtherKillRange,0
キルレンジ,ショート,JackalKillRange,0
サイドキック作成能力のクールタイム,30秒,JackalAbilityCoolTime,59
サイドキック作成数,1回,JackalAbilityCount,0
サイドキック作成能力の範囲,ショート,JackalRangeSidekickTarget,0
ラバーズをサイドキックに出来るか,オン,JackalCanLoverSidekick,1
ラバーズを置き換えてサイドキックにするか,オン,JackalForceReplaceLover,1
ジャッカル死亡時、昇格するサイドキック数,1,JackalUpgradeSidekickNum,0
昇格したジャッカルがサイドキックを作成できるか,オフ,JackalSidekickJackalCanMakeSidekick,0
昇格したジャッカルがサイドキックを作成できる再帰上限数,1,JackalSidekickLimitNum,0
インポスターをサイドキックにできるか,オフ,JackalCanSetImpostorToSidekick,0
サイドキックされたインポスターの表示をインポスターにするか,オフ,JackalCanSeeImpostorToSidekickImpostor,0
サイドキックがサボタージュを使えるか,オン,SidekickUseSabotage,1
サイドキックがベントを使えるか,オン,SidekickUseVent,1
サイドキックがキルできるか,オフ,SidekickCanKill,0
サイドキックが別のキルクールを持つか,オフ,SidekickHasOtherKillCool,0
サイドキックのキルクールタイム,30秒,SidekickKillCoolDown,58
サイドキックが別のキルレンジを持つか,オフ,SidekickHasOtherKillRange,0
サイドキックのキルレンジ,ショート,SidekickKillRange,0
サイドキックが別の視界設定を持つか,オフ,SidekickHasOtherVision,0
サイドキックの視界,2x,SidekickVision,7
サイドキックが視界効果を受けるか,オフ,SidekickApplyEnvironmentVisionEffect,0
スポーンレート,0％,TaskMasterSpawnRate,0
スポーン数,1,TaskMasterRoleNum,0
アサインウェイト,500,TaskMasterAssignWeight,499
別の視界設定を持つか,オフ,TaskMasterHasOtherVision,0
ビジョン,2x,TaskMasterVision,7
視界効果を受けるか,オフ,TaskMasterApplyEnvironmentVisionEffect,0
サボタージュを使えるか,オン,TaskMasterCanUseSabotage,1
追加のショートタスク数,1,TaskMasterAddCommonTaskNum,1
追加のロングタスク数,1,TaskMasterAddLongTaskNum,1
追加の通常タスク数,1,TaskMasterAddNormalTaskNum,1
スポーンレート,100％,MissionarySpawnRate,10
スポーン数,1,MissionaryRoleNum,0
アサインウェイト,500,MissionaryAssignWeight,499
別の視界設定を持つか,オフ,MissionaryHasOtherVision,0
ビジョン,2x,MissionaryVision,7
視界効果を受けるか,オフ,MissionaryApplyEnvironmentVisionEffect,0
宣教後の自決が分かるかどうか,オン,MissionaryTellDeparture,1
宣教後自決する時間の最小時間,15秒,MissionaryDepartureMinTime,28
宣教後自決する時間の最大時間,15秒,MissionaryDepartureMaxTime,0
「宣教」できる範囲,1.2,MissionaryPropagateRange,12
「宣教」のクールタイム,15秒,MissionaryAbilityCoolTime,29
能力「神の宣告」を有効化するか,オフ,MissionaryIsUseSolemnJudgment,0
能力「神の宣告」が出来るプレイヤー数の上限,3,MissionaryMaxJudgementNum,2
スポーンレート,0％,JesterSpawnRate,0
スポーン数,1,JesterRoleNum,0
アサインウェイト,500,JesterAssignWeight,499
別の視界設定を持つか,オフ,JesterHasOtherVision,0
ビジョン,2x,JesterVision,7
視界効果を受けるか,オフ,JesterApplyEnvironmentVisionEffect,0
「暴発」を発動できる距離,1,JesterOutburstDistance,10
サボタージュを使えるか,オン,JesterUseSabotage,1
「暴発」のクールタイム,30秒,JesterAbilityCoolTime,59
「暴発」後キルが発生するまでの時間,2秒,JesterAbilityActiveTime,3
「暴発」の使用上限,5回,JesterAbilityCount,4
スポーンレート,0％,YandereSpawnRate,0
スポーン数,1,YandereRoleNum,0
アサインウェイト,500,YandereAssignWeight,499
別の視界設定を持つか,オフ,YandereHasOtherVision,0
ビジョン,2x,YandereVision,7
視界効果を受けるか,オフ,YandereApplyEnvironmentVisionEffect,0
「邪魔者」を殺した時のキルクール減少率,85％,YandereTargetKilledKillCoolReduceRate,60
「邪魔者」以外を殺したときのキルクールペナルティ,1.2x,YandereNoneTargetKilledKillCoolMultiplier,2
ゲーム開始から「邪魔者」が登録されない時間,5秒,YandereBlockTargetTime,9
「邪魔者」が登録される「片思いの人」からの距離,1.8,YandereSetTargetRange,13
「邪魔者」が登録される時間,2秒,YandereSetTargetTime,19
「邪魔者」の登録数上限,5,YandereMaxTargetNum,4
「邪魔者」が無くなってから「暴走」するまでの時間,60秒,YandereRunawayTime,140
「片思いの人」を指す矢印を表示するか,オン,YandereHasOneSidedArrow,1
「邪魔者」を指す矢印を表示するか,オン,YandereHasTargetArrow,1
スポーンレート,0％,YokoSpawnRate,0
スポーン数,1,YokoRoleNum,0
アサインウェイト,500,YokoAssignWeight,499
別の視界設定を持つか,オフ,YokoHasOtherVision,0
ビジョン,2x,YokoVision,7
視界効果を受けるか,オフ,YokoApplyEnvironmentVisionEffect,0
サボタージュを修理できるか,オフ,YokoCanRepairSabo,0
ベントを使用できるか,オフ,YokoCanUseVent,0
「気配察知」の範囲,7.5,YokoSearchRange,5
「気配察知」の発動間隔,10秒,YokoSearchTime,14
「気配察知」が正しい情報を教える確率,50％,YokoTrueInfoRate,5
「社」に関する能力の有効化,オフ,YokoUseYashiro,0
「社の設置」のクールタイム,30秒,YokoAbilityCoolTime,59
「社の設置」にかかる時間,5秒,YokoAbilityActiveTime,9
「社の設置」を行える回数,3回,YokoAbilityCount,2
「社」の”活性化”状態の持続時間,30秒,YokoYashiroActiveTime,29
「社」の”封印”状態の持続時間,10秒,YokoYashiroSeelTime,9
「社の保護」の範囲,5,YokoYashiroProtectRange,40
「社」の状態が会議中にも変化するか,オン,YokoYashiroUpdateWithMeeting,1
スポーンレート,100％,TotocalcioSpawnRate,10
スポーン数,1,TotocalcioRoleNum,0
アサインウェイト,500,TotocalcioAssignWeight,499
別の視界設定を持つか,オフ,TotocalcioHasOtherVision,0
ビジョン,2x,TotocalcioVision,7
視界効果を受けるか,オフ,TotocalcioApplyEnvironmentVisionEffect,0
「賭ける」が発動できる距離,1,TotocalcioRange,10
「賭ける」の初期クールタイム,10秒,TotocalcioAbilityCoolTime,19
「賭ける」の発動可能回数,3回,TotocalcioAbilityCount,2
「賭ける」の最終クールタイム,90秒,TotocalcioFinalCoolTime,450
スポーンレート,0％,MinerSpawnRate,0
スポーン数,1,MinerRoleNum,0
アサインウェイト,500,MinerAssignWeight,499
別の視界設定を持つか,オフ,MinerHasOtherVision,0
ビジョン,2x,MinerVision,7
視界効果を受けるか,オフ,MinerApplyEnvironmentVisionEffect,0
ベントが新しくリンクされるか,オフ,MinerLinkingAllVent,0
「地雷設置」のクールタイム,30秒,MinerAbilityCoolTime,59
「地雷設置」後「地雷」が有効になるまでの時間,2秒,MinerAbilityActiveTime,3
「地雷」の検知範囲,1.8,MinerMineKillRange,13
「地雷」を見ることが出来るか,オフ,MinerCanShowMine,0
役職の人の「地雷」の見え方,音のみ,MinerRolePlayerShowMode,0
役職以外の人の「地雷」の見え方,非表示,MinerAnotherPlayerShowMode,0
役職以外の人が非活性時でも見ることが出来るか,オフ,MinerCanShowNoneActiveAnotherPlayer,0
ゲーム開始及び会議終了後「地雷」が有効になるまでの時間,20秒,MinerNoneActiveTime,38
役職の人に「地雷」によるキルログを表示するか,オン,MinerShowKillLog,1
スポーンレート,0％,EaterSpawnRate,0
スポーン数,1,EaterRoleNum,0
アサインウェイト,500,EaterAssignWeight,499
別の視界設定を持つか,オフ,EaterHasOtherVision,0
ビジョン,2x,EaterVision,7
視界効果を受けるか,オフ,EaterApplyEnvironmentVisionEffect,0
ベントを使用できるか,オン,EaterCanUseVent,1
「喰らう」と「丸呑み」のクールタイム,30秒,EaterAbilityCoolTime,59
「丸呑み」にかかる時間,7.5秒,EaterAbilityActiveTime,14
イーターが勝利するまでの「喰らう」と「丸呑み」の回数,5回,EaterAbilityCount,4
「喰らう」と「丸呑み」が発動できる距離,1,EaterEatRange,10
「喰らう」による「「丸呑み」にかかる時間」の増加率,10％,EaterDeadBodyEatActiveCoolTimePenalty,10
「丸呑み」によるクールタイムの増加率,10％,EaterKillEatCoolTimePenalty,10
能力が使用できなかった会議後の「「丸呑み」にかかる時間」の減少率,10％,EaterKillEatActiveCoolTimeReduceRate,10
クールタイムを会議開始時にリセットするか,オフ,EaterIsResetCoolTimeWhenMeeting,0
死体までの矢印を表示するか,オン,EaterIsShowArrowForDeadBody,1
スポーンレート,0％,QueenSpawnRate,0
スポーン数,1,QueenRoleNum,0
アサインウェイト,500,QueenAssignWeight,499
別の視界設定を持つか,オフ,QueenHasOtherVision,0
ビジョン,2x,QueenVision,7
視界効果を受けるか,オフ,QueenApplyEnvironmentVisionEffect,0
別のキルクールタイムを持つか,オフ,QueenHasOtherKillCool,0
キルクールタイム,30秒,QueenKillCoolDown,58
別のキルレンジを持つか,オフ,QueenHasOtherKillRange,0
キルレンジ,ショート,QueenKillRange,0
ベントを使用できるか,オフ,QueenCanUseVent,0
「魅惑」のクールタイム,30秒,QueenAbilityCoolTime,59
「魅惑」の発動可能回数,1回,QueenAbilityCount,0
「魅惑」の発動可能距離,1,QueenRange,5
サーヴァントのキルによるクイーンのキルクール減少率,40％,QueenServantKillKillCoolReduceRate,40
サーヴァントの1タスク完了によるクイーンのキルクール減少率,75％,QueenServantTaskKillCoolReduceRate,75
サーヴァントの全タスク完了によるクイーンのキルクール永続減少率,30％,QueenServantTaskCompKillCoolReduceRate,30
サーヴァントの「自決」のクールタイム,30秒,QueenServantSelfKillCool,59
キル能力を持つサーヴァントがクイーンの死亡後に自決をするか,オン,QueenServantSucideWithQueenWhenHasKill,1
スポーンレート,0％,MadmateSpawnRate,0
スポーン数,1,MadmateRoleNum,0
アサインウェイト,500,MadmateAssignWeight,499
別の視界設定を持つか,オフ,MadmateHasOtherVision,0
ビジョン,2x,MadmateVision,7
視界効果を受けるか,オフ,MadmateApplyEnvironmentVisionEffect,0
マッドメイトを生存者にカウントしないか,オフ,MadmateIsDontCountAliveCrew,0
サボタージュを修理できるか,オフ,MadmateCanFixSabotage,0
ベントを使用できるか,オフ,MadmateCanUseVent,0
ベント同士で移動できるか,オフ,MadmateCanMoveVentToVent,0
タスクに関するオプションを有効化するか,オフ,MadmateHasTask,0
マッドメイトがインポスターを認識できるタスク完了率,70％,MadmateSeeImpostorTaskGage,7
インポスターがマッドメイトを認識できるか,オフ,MadmateCanSeeFromImpostor,0
インポスターがマッドメイトを認識できるタスク完了率,70％,MadmateCanSeeFromImpostorTaskGage,7
「自決」のクールタイム,30秒,MadmateAbilityCoolTime,59
スポーンレート,0％,UmbrerSpawnRate,0
スポーン数,1,UmbrerRoleNum,0
アサインウェイト,500,UmbrerAssignWeight,499
別の視界設定を持つか,オフ,UmbrerHasOtherVision,0
ビジョン,2x,UmbrerVision,7
視界効果を受けるか,オフ,UmbrerApplyEnvironmentVisionEffect,0
「ウイルス注入」と「ウイルス強化」が発動できる範囲,1,UmbrerRange,9
「ウイルス注入」と「ウイルス強化」のクールタイム,30秒,UmbrerAbilityCoolTime,59
「ウイルス注入」にかかる時間,3秒,UmbrerAbilityActiveTime,5
「ウイルス強化」にかかる時間,3.5秒,UmbrerUpgradeVirusTime,30
「ウイルス強化」中の感染範囲,1.4,UmbrerInfectRange,13
「ウイルス強化」が持続する時間,10秒,UmbrerKeepUpgradedVirus,15
スポーンレート,0％,HatterSpawnRate,0
スポーン数,1,HatterRoleNum,0
アサインウェイト,500,HatterAssignWeight,499
別の視界設定を持つか,オフ,HatterHasOtherVision,0
ビジョン,2x,HatterVision,7
視界効果を受けるか,オフ,HatterApplyEnvironmentVisionEffect,0
サボタージュを修理できるか,オフ,HatterCanRepairSabotage,0
勝利出来る会議スキップ回数,3,HatterWinCount,2
「時間殺し」のクールタイム,30秒,HatterAbilityCoolTime,59
「時間殺し」の使用回数,3回,HatterAbilityCount,3
「時間殺し」で会議の時間タイマーを非表示にするか,オン,HatterHideMeetingTimer,1
「時間殺し」で減少する会議の時間の最小率,0％,HatterMeetingTimerDecreaseLower,0
「時間殺し」で減少する会議の時間の最大率,20％,HatterMeetingTimerDecreaseUpper,4
「時間殺し」が増加するタスク進捗率,50％,HatterIncreaseTaskGage,5
増加する能力の使用回数,3,HatterIncreseNum,2
スポーンレート,0％,ArtistSpawnRate,0
スポーン数,1,ArtistRoleNum,0
アサインウェイト,500,ArtistAssignWeight,499
別の視界設定を持つか,オフ,ArtistHasOtherVision,0
ビジョン,2x,ArtistVision,7
視界効果を受けるか,オフ,ArtistApplyEnvironmentVisionEffect,0
ベントを使用できるか,オフ,ArtistCanUseVent,0
勝利できる塗り面積,15,ArtistWinAreaSize,14
「塗り」のクールタイム,30秒,ArtistAbilityCoolTime,59
「塗り」が解除できるようになるまでの時間,3秒,ArtistAbilityActiveTime,5
スポーンレート,0％,TuckerSpawnRate,0
スポーン数,1,TuckerRoleNum,0
アサインウェイト,500,TuckerAssignWeight,499
別の視界設定を持つか,オフ,TuckerHasOtherVision,0
ビジョン,2x,TuckerVision,7
視界効果を受けるか,オフ,TuckerApplyEnvironmentVisionEffect,0
「キメラ錬成」と「影消し」のクールタイム,30秒,TuckerAbilityCoolTime,59
「キメラ錬成」の使用回数,1回,TuckerAbilityCount,0
「キメラ錬成」と「影消し」が発動できる範囲,0.7,TuckerRange,6
「影」が設置される秒数,15秒,TuckerShadowTimer,145
「影」の設置位置のズレ幅,0.5,TuckerShadowOffset,5
「影消し」にかかる時間,3秒,TuckerRemoveShadowTime,29
「影消し」によってキメラのキルクールが減少するか,オン,TuckerIsKillCoolReduceOnRemove,1
キルクールの減少量,2.5秒,TuckerKillCoolReduceOnRemoveShadow,24
初期設定キルクールタイムより減少するか,オフ,TuckerIsReduceInitKillCoolOnRemove,0
キメラが別の視界設定を持つか,オフ,TuckerChimeraHasOtherVision,0
キメラの視界,2x,TuckerChimeraVision,7
キメラが視界効果を受けるか,オフ,TuckerChimeraApplyEnvironmentVisionEffect,0
キメラが別のキルクール設定を持つか,オフ,TuckerHasOtherKillCool,0
キメラのキルクール,30秒,TuckerKillCoolDown,58
キメラが別のキルレンジ設定を持つか,オフ,TuckerHasOtherKillRange,0
キメラのキルレンジ,ショート,TuckerKillRange,0
キメラがベントを使えるか,オフ,TuckerChimeraCanUseVent,0
キメラの復活にかかる時間,5秒,TuckerChimeraReviveTime,10
キメラが復活する毎のキルクール増減量,2.5秒,TuckerChimeraDeathKillCoolOffset,325
タッカー死亡時、キメラも死亡するか,オフ,TuckerTuckerDeathWithChimera,0
タッカー死亡時のキメラのキルクール増減量,2.5秒,TuckerTuckerDeathKillCoolOffset,325
スポーンレート,0％,IronMateSpawnRate,0
スポーン数,1,IronMateRoleNum,0
アサインウェイト,500,IronMateAssignWeight,499
別の視界設定を持つか,オフ,IronMateHasOtherVision,0
ビジョン,2x,IronMateVision,7
視界効果を受けるか,オフ,IronMateApplyEnvironmentVisionEffect,0
キルをブロックできる回数,1,IronMateBlockNum,1
ブロック後移動速度が変化する秒数,10秒,IronMateSlowTime,20
ブロック後の移動速度倍率,0.7x,IronMateSlowMod,6
死体の上にプレイヤーが表示される秒数,10秒,IronMatePlayerShowTime,100
プレイヤーが表示された後死体が表示される秒数,10秒,IronMateDeadBodyShowTimeOnAfterPlayer,100
スポーンレート,0％,MonikaSpawnRate,0
スポーン数,1,MonikaRoleNum,0
アサインウェイト,500,MonikaAssignWeight,499
別の視界設定を持つか,オフ,MonikaHasOtherVision,0
ビジョン,2x,MonikaVision,7
視界効果を受けるか,オフ,MonikaApplyEnvironmentVisionEffect,0
単独として生き残ってもゲームが続行するか,オン,MonikaIsSoloTeam,1
ベントを使用できるか,オフ,MonikaCanUseVent,0
サボタージュを使用できるか,オフ,MonikaCanUseSabotage,0
「モニカ」が緊急会議を発生させた時誰かのボタンを消費するか,オン,MonikaUseOtherButton,1
「抹消」のクールタイム,30秒,MonikaAbilityCoolTime,59
「抹消」が発動できる範囲,1.3,MonikaRange,12
「モニカ」がゴミ箱のプレイヤーを見ることができるか,オフ,MonikaCanSeeTrash,0
スポーンレート,0％,AvalonsRolesSpawnRate,0
スポーン数,1,AvalonsRolesRoleNum,0
別役職の能力を持つか,オフ,AvalonsRolesIsMultiAssign,0
アサインウェイト,500,AvalonsRolesAssignWeight,499
アサシンが別の視界設定を持つか,オフ,AssassinHasOtherVision,0
アサシンのビジョン,2x,AssassinVision,7
アサシンが視界効果を受けるか,オフ,AssassinApplyEnvironmentVisionEffect,0
アサシンが別のキルクールタイムを持つか,オフ,AssassinHasOtherKillCool,0
アサシンのキルクールタイム,30秒,AssassinKillCoolDown,58
アサシンが別のキルレンジを持つか,オフ,AssassinHasOtherKillRange,0
アサシンのキルレンジ,ショート,AssassinKillRange,0
アサシンがタスクを持つか,オフ,AssassinHasTask,0
アサシンがキルされるか,オフ,AssassinCanKilled,0
キル能力を持つクルー役職がアサシンをキルできるか,オフ,AssassinCanKilledFromCrew,0
キル能力を持つ第三陣営がアサシンをキルできるか,オフ,AssassinCanKilledFromNeutral,0
アサシン死亡時、強制的に会議を行うか,オン,AssassinIsDeadForceMeeting,1
アサシン死亡後の最初の会議前にロールを見ることができるか,オフ,AssassinCanSeeRoleBeforeFirstMeeting,0
アサシンが投票を見ることができるか,オン,AssassinCanSeeVote,1
マーリンが別の視界設定を持つか,オン,MarlinHasOtherVision,1
マーリンのビジョン,2x,MarlinVision,7
マーリンが視界効果を受けるか,オン,MarlinApplyEnvironmentVisionEffect,1
マーリンがタスクを持つか,オフ,MarlinHasTask,0
マーリンがアサシンを見ることができるか,オン,MarlinCanSeeAssassin,1
マーリンが投票を見ることができるか,オン,MarlinCanSeeVote,1
マーリンが第三陣営を見ることができるか,オフ,MarlinCanSeeNeutral,0
マーリンがベントを使えるか,オフ,MarlinCanUseVent,0
スポーンレート,0％,HeroAcaSpawnRate,0
スポーン数,1,HeroAcaRoleNum,0
別役職の能力を持つか,オフ,HeroAcaIsMultiAssign,0
アサインウェイト,500,HeroAcaAssignWeight,499
ヒーローが別の視界設定を持つか,オフ,HeroHasOtherVision,0
ヒーローのビジョン,2x,HeroVision,7
ヒーローが視界効果を受けるか,オン,HeroApplyEnvironmentVisionEffect,1
ヒーロー「サーチ」のクールタイム,30秒,HeroAbilityCoolTime,59
ヒーロー「サーチ」の発動時間,5秒,HeroAbilityActiveTime,9
ヒーロー「One for All」の第二段階発動のプレイヤー死亡率,33％,HeroFeatKillPercentage,13
ヒーロー「One for All」の第三段階発動のプレイヤー死亡率,66％,HeroFeatButtonAbilityPercentage,16
ヴィランが別の視界設定を持つか,オフ,VillainHasOtherVision,0
ヴィランのビジョン,2x,VillainVision,7
ヴィランが視界効果を受けるか,オフ,VillainApplyEnvironmentVisionEffect,0
ヴィランが別のキルクールタイムを持つか,オフ,VillainHasOtherKillCool,0
ヴィランのキルクールタイム,30秒,VillainKillCoolDown,58
ヴィランが別のキルレンジを持つか,オフ,VillainHasOtherKillRange,0
ヴィランのキルレンジ,ショート,VillainKillRange,0
ヴィラン「サーチ」のクールタイム,30秒,VillainAbilityCoolTime,59
ヴィラン「サーチ」の発動時間,5秒,VillainAbilityActiveTime,9
ヴィジランテが能力発動時ヴィランがその人の位置を認知できる時間,2.5秒,VillainVigilanteSeeTime,3
ヴィジランテが別の視界設定を持つか,オフ,VigilanteHasOtherVision,0
ヴィジランテのビジョン,2x,VigilanteVision,7
ヴィジランテが視界効果を受けるか,オフ,VigilanteApplyEnvironmentVisionEffect,0
ヴィジランテ「エマージェンシーコール」のクールタイム,30秒,VigilanteAbilityCoolTime,59
ヴィジランテ「エマージェンシーコール」の発動時間,5秒,VigilanteAbilityActiveTime,9
ヴィジランテ「エマージェンシーコール」の発動可能回数,2回,VigilanteAbilityCount,1
ヴィジランテ「エマージェンシーコール」の発動可能範囲,3,VigilanteRange,18
スポーンレート,0％,DetectiveOfficeSpawnRate,0
スポーン数,1,DetectiveOfficeRoleNum,0
別役職の能力を持つか,オフ,DetectiveOfficeIsMultiAssign,0
アサインウェイト,500,DetectiveOfficeAssignWeight,499
探偵が別の視界設定を持つか,オフ,DetectiveHasOtherVision,0
探偵のビジョン,2x,DetectiveVision,7
探偵が視界効果を受けるか,オン,DetectiveApplyEnvironmentVisionEffect,1
探偵が「犯行現場」を調べれる距離,1,DetectiveSearchRange,5
探偵が「犯行現場」の1調査にかかる時間,6秒,DetectiveSearchTime,30
探偵が助手のサポートを受けた「犯行現場」の1調査にかかる時間,4秒,DetectiveSearchAssistantTime,20
調査結果の画面表示時間,60秒,DetectiveTextShowTime,550
助手が別の視界設定を持つか,オフ,AssistantHasOtherVision,0
助手のビジョン,2x,AssistantVision,7
助手が視界効果を受けるか,オン,AssistantApplyEnvironmentVisionEffect,1
見習い探偵が別の視界設定を持つか,オフ,DetectiveApprenticeHasOtherVision,0
見習い探偵のビジョン,2x,DetectiveApprenticeVision,7
見習い探偵が視界効果を受けるか,オフ,DetectiveApprenticeApplyEnvironmentVisionEffect,0
見習い探偵「緊急招集」のクールタイム,30秒,DetectiveApprenticeAbilityCoolTime,59
見習い探偵「緊急招集」によって緊急会議ボタンを押せる時間,3秒,DetectiveApprenticeAbilityActiveTime,5
見習い探偵「緊急招集」の使用回数,1回,DetectiveApprenticeAbilityCount,0
見習い探偵「緊急招集」によって緊急会議ボタンを消費しないか,オフ,DetectiveApprenticeHasOtherButton,0
消費されない回数,1回,DetectiveApprenticeHasOtherButtonNum,0
スポーンレート,100％,KidsSpawnRate,10
スポーン数,1,KidsRoleNum,0
別役職の能力を持つか,オフ,KidsIsMultiAssign,0
アサインウェイト,500,KidsAssignWeight,499
別の視界設定を持つか,オン,DelinquentHasOtherVision,1
ビジョン,2x,DelinquentVision,7
視界効果を受けるか,オフ,DelinquentApplyEnvironmentVisionEffect,0
「ラクガキ」と「自爆」のクールタイム,25秒,DelinquentAbilityCoolTime,49
「自爆」が使用できるようになる「落書き」の回数,7回,DelinquentAbilityCount,6
「自爆」の爆発範囲,3.6,DelinquentRange,26
「灯火」の勝利に必要な人数のオフセット値,2,WispWinNum,7
「灯火」のデフォルト使用回数,1,WispTorchAbilityNum,1
「灯火」の設置個数,2,WispTorchNum,1
「灯火」を取得できる範囲,2.5,WispTorchRange,15
「灯火」が消えるまでの時間,10秒,WispTorchActiveTime,50
「灯火停電」の発動時間,10秒,WispBlackOutTime,75
「灯火」のクールタイム,20秒,WispAbilityCoolTime,30
「灯火」の能力発動を報告するか,オン,WispIsReportAbility,1
スポーンレート,100％,LoverSpawnRate,10
スポーン数,1,LoverRoleNum,0
1組あたりのアサイン数,2,LoverAssignsNum,0
別役職の能力を持つか,オン,LoverIsMultiAssign,1
アサインウェイト,510,LoverAssignWeight,509
インポスターがアサインされるか,オフ,LoverIsAssignImposter,0
インポスターのアサインレート,0％,LoverImposterSelectedRate,0
別の視界設定を持つか,オフ,LoverHasOtherVision,0
ビジョン,2x,LoverVision,7
視界効果を受けるか,オン,LoverApplyEnvironmentVisionEffect,1
第三陣営かどうか,オン,LoverIsNeutral,1
第三陣営に変わるかどうか,オン,LoverBecomNeutral,1
自殺が行われる1組辺り人数,1,LoverDethWhenUnderAlive,0
別のキルクールタイムを持つか,オフ,LoverHasOtherKillCool,0
キルクールタイム,30秒,LoverKillCoolDown,58
別のキルレンジを持つか,オフ,LoverHasOtherKillRange,0
キルレンジ,ショート,LoverKillRange,0
第三陣営に変化後、別の視界設定を持つか,オン,LoverBecomeNeutralLoverHasOtherVision,1
第三陣営に変化後のビジョン,2x,LoverBecomeNeutralLoverVision,7
第三陣営に変化後、視界効果を受けるか,オフ,LoverBecomeNeutralLoverApplyEnvironmentVisionEffect,0
第三陣営に変化後、ベントを使用できるか,オン,LoverBecomeNeutralLoverCanUseVent,1
スポーンレート,0％,BuddySpawnRate,0
スポーン数,1,BuddyRoleNum,0
1組あたりのアサイン数,2,BuddyAssignsNum,0
別役職の能力を持つか,オフ,BuddyIsMultiAssign,0
アサインウェイト,500,BuddyAssignWeight,499
別の視界設定を持つか,オフ,BuddyHasOtherVision,0
ビジョン,2x,BuddyVision,7
視界効果を受けるか,オン,BuddyApplyEnvironmentVisionEffect,1
「バディーズ」に覚醒するタスク進捗率,50％,BuddyAwakeTaskGage,5
スポーンレート,0％,SharerSpawnRate,0
スポーン数,1,SharerRoleNum,0
1組あたりのアサイン数,2,SharerAssignsNum,0
別役職の能力を持つか,オフ,SharerIsMultiAssign,0
アサインウェイト,500,SharerAssignWeight,499
別の視界設定を持つか,オフ,SharerHasOtherVision,0
ビジョン,2x,SharerVision,7
視界効果を受けるか,オフ,SharerApplyEnvironmentVisionEffect,0
別のキルクールタイムを持つか,オフ,SharerHasOtherKillCool,0
キルクールタイム,30秒,SharerKillCoolDown,58
別のキルレンジを持つか,オフ,SharerHasOtherKillRange,0
キルレンジ,ショート,SharerKillRange,0
別の「シェアーズ」のキルを教えるか,オン,SharerSharerTellKill,1
スポーンレート,0％,SupporterSpawnRate,0
スポーン数,1,SupporterRoleNum,0
1組あたりのアサイン数,1,SupporterAssignsNum,0
別役職の能力を持つか,オフ,SupporterIsMultiAssign,0
アサインウェイト,500,SupporterAssignWeight,499
インポスターがアサインされるか,オフ,SupporterIsAssignImposter,0
インポスターのアサインレート,0％,SupporterImposterSelectedRate,0
別の視界設定を持つか,オフ,SupporterHasOtherVision,0
ビジョン,2x,SupporterVision,7
視界効果を受けるか,オン,SupporterApplyEnvironmentVisionEffect,1
別のキルクールタイムを持つか,オフ,SupporterHasOtherKillCool,0
キルクールタイム,30秒,SupporterKillCoolDown,58
別のキルレンジを持つか,オフ,SupporterHasOtherKillRange,0
キルレンジ,ショート,SupporterKillRange,0
スポーンレート,0％,GuesserSpawnRate,0
スポーン数,1,GuesserRoleNum,0
1組あたりのアサイン数,1,GuesserAssignsNum,0
別役職の能力を持つか,オフ,GuesserIsMultiAssign,0
アサインウェイト,500,GuesserAssignWeight,499
